,Name,Class,Probability,g no points,r no points
0,ZTF22abtfklr,SLSN,0.282,14,14
1,ZTF22abspmrl,SNIbc,0.466,10,11
2,ZTF22abssydd,SNIbc,0.334,1,9
3,ZTF22aboawxv,SNIbc,0.402,32,37
4,ZTF22abrhrtm,SNIbc,0.394,14,17
5,ZTF22abreikr,SNIbc,0.31,8,12
6,ZTF22abrahwy,SNIbc,0.442,23,27
7,ZTF22abriohe,SNIbc,0.42,3,9
8,ZTF22abqpdon,SNIbc,0.38,1,6
9,ZTF22abqouwl,SNII,0.336,0,24
10,ZTF22abqoubb,SNIbc,0.306,0,36
11,ZTF22abqwzli,SNIbc,0.304,4,6
12,ZTF22abqhmws,SNIbc,0.286,0,24
13,ZTF22abqcruf,SNIbc,0.446,10,12
14,ZTF18admgfwt,SNII,0.32,12,15
15,ZTF20acuwfai,SNIbc,0.322,7,2
16,ZTF20abtxtvm,SNIbc,0.346,6,2
17,ZTF22abtecpk,SNIbc,0.436,5,9
18,ZTF18adnpcac,SNIbc,0.48,8,8
19,ZTF18adnhlve,SNIbc,0.404,6,2
20,ZTF22abqgvkn,SNIbc,0.402,8,12
21,ZTF22abprvjx,SNIbc,0.406,13,24
22,ZTF18adjszno,SNIbc,0.37,6,1
23,ZTF19abzpgfr,SNIbc,0.428,8,4
24,ZTF22abplfsr,SNIbc,0.46,5,9
25,ZTF18adkcmvb,SNIbc,0.372,10,4
26,ZTF22abqpclr,SNIbc,0.404,11,18
27,ZTF22abpkmdp,SNIbc,0.378,13,14
28,ZTF22abtkdqj,SLSN,0.416,6,16
29,ZTF22abpyder,SNIbc,0.53,13,27
30,ZTF22abtfnrz,SNII,0.324,36,29
31,ZTF22abppdqh,SNIa,0.46,14,20
32,ZTF20aaryutw,SNIbc,0.3,0,31
33,ZTF22abprpii,SNIbc,0.376,3,6
34,ZTF17aacryot,SNII,0.406,11,9
35,ZTF19adkuxdz,SNIbc,0.386,14,13
36,ZTF22abtfnlo,SNII,0.294,18,8
37,ZTF18adlxojb,SNIbc,0.382,5,7
38,ZTF22abobjlm,SNIbc,0.386,8,10
39,ZTF22abplazd,SNIbc,0.37,6,7
40,ZTF22abobnwl,SNIbc,0.512,4,7
41,ZTF18adjlbcu,SNIbc,0.334,7,2
42,ZTF22abtejhg,SNII,0.336,10,12
43,ZTF19adhjmrl,SNII,0.356,7,12
44,ZTF18actwfwj,SNIbc,0.292,0,7
45,ZTF22abqvyre,SNII,0.326,8,17
46,ZTF19adfgqno,SLSN,0.372,1,10
47,ZTF18adnfvoc,SLSN,0.344,6,8
48,ZTF22abtfsvb,SNII,0.298,12,10
49,ZTF22abpwxlw,SNIbc,0.312,12,8
50,ZTF22abtdxjb,SNII,0.346,3,16
51,ZTF22abnvvjc,SNIbc,0.314,0,29
52,ZTF22abnvurw,SNIbc,0.294,0,34
53,ZTF19aajzwqe,SNII,0.346,7,12
54,ZTF22abojyaa,SNIbc,0.346,6,13
55,ZTF22aboavsh,SLSN,0.292,8,17
56,ZTF22abnvijp,SNIbc,0.408,7,12
57,ZTF22abnunsw,SNII,0.33,4,15
